name,speed,elbow_speed,acc,elbow_acc,toolnum,workpiecenum,j1,j2,j3,j4,j5,j6,E1,E2,E3,E4,x,y,z,rx,ry,rz
b86_calib_filler_edge,100,100,100,100,0,0,67.376,-67.830,84.587,43.995,54.086,-130.165,0.000,0.000,0.000,0.000,-39.499,-513.005,310.001,173.864,44.707,114.683
b86_calib_filler_insert,100,100,100,100,0,0,67.376,-68.568,82.547,46.774,54.087,-130.166,0.000,0.000,0.000,0.000,-39.499,-513.002,330.505,173.865,44.706,114.684
b86_calib_filler_under_approach,100,100,100,100,0,0,67.435,-62.492,92.444,30.766,54.116,-130.104,0.000,0.000,0.000,0.000,-39.001,-513.002,209.998,173.863,44.704,114.684
