name,speed,elbow_speed,acc,elbow_acc,toolnum,workpiecenum,j1,j2,j3,j4,j5,j6,E1,E2,E3,E4,x,y,z,rx,ry,rz
bottlepickUpBOX_pt4,100,100,100,100,0,0,81.729,-80.764,122.606,-45.475,88.854,-89.987,0.000,0.000,0.000,0.000,35.349,-479.318,211.374,-0.947,86.367,-98.072
boxbottle_pt3NEW,100,100,100,100,0,0,81.792,-77.451,122.633,-45.456,88.852,-89.990,0.000,0.000,0.000,0.000,35.532,-481.687,183.939,0.991,89.726,-96.069
bottlepickUpBOX_pt4NEW,100,100,100,100,0,0,81.729,-81.600,122.606,-45.475,88.854,-89.988,0.000,0.000,0.000,0.000,35.481,-478.411,218.210,-0.990,85.532,-98.115
test1,100,100,100,100,0,0,90.445,-96.989,149.806,-60.831,91.880,-89.990,0.000,0.000,0.000,0.000,100.961,-300.130,170.939,1.953,81.986,-89.482
ptBottleAbove,100,100,100,100,0,0,93.844,-83.059,152.007,-70.644,100.812,-90.246,0.000,0.000,0.000,0.000,102.655,-288.706,104.997,2.490,88.332,-94.481
ptBottleAboveFinal,100,100,100,100,0,0,90.451,-86.221,148.444,-50.431,90.879,-89.999,0.000,0.000,0.000,0.000,102.657,-288.711,105.000,-179.126,78.208,90.445
ptBottleAboveFinal_bottle2,100,100,100,100,0,0,72.470,-96.050,149.726,-41.358,73.289,-93.776,0.000,0.000,0.000,0.000,46.0,-288.717,135.0,-179.124,78.208,90.447
ptBottle2,100,100,100,100,0,0,72.470,-78.986,153.091,-61.787,73.287,-93.776,0.000,0.000,0.000,0.000,46.0,-288.719,67.880,-179.126,78.208,90.446
ptBottleAboveFinal_bottle3,100,100,100,100,0,0,54.018,-96.278,150.119,-39.454,55.326,-98.485,0.000,0.000,0.000,0.000,-13.0,-288.715,135.0,-179.128,78.207,90.442
ptBottle3,100,100,100,100,0,0,54.018,-78.950,153.486,-60.148,55.323,-98.485,0.000,0.000,0.000,0.000,-13.0,-288.717,67.881,-179.131,78.207,90.441
ptBottleAboveFinal_bottle1,100,100,100,100,0,0,90.104,-92.734,146.824,-42.299,90.541,-90.070,0.000,0.000,0.000,0.000,101.498,-288.711,135.0,-179.124,78.208,90.446
ptBottle1,100,100,100,100,0,0,90.104,-77.245,149.903,-60.867,90.541,-90.070,0.000,0.000,0.000,0.000,101.500,-288.715,67.883,-179.124,78.208,90.446
bottlepickUpBOX_pt4NEW_Final,100,100,100,100,0,0,78.016,-82.889,113.689,-18.772,78.712,-92.571,0.000,0.000,0.000,0.000,21.997,-481.998,249.996,-179.127,78.206,90.443
boxbottle_pt3NEW_Final,100,100,100,100,0,0,78.016,-80.447,115.992,-23.516,78.713,-92.571,0.000,0.000,0.000,0.000,21.993,-481.999,219.998,-179.126,78.206,90.442
